"otu","habitat_preference","average_prop","average_abundance","habitats_present","num_present","habitat_preference_n"
"otu_1","marine_mud",0.229340902327167,26387.229468599,3,30,1
"otu_1053","marine_mud",0.00314664419671894,258.545454545455,1,11,1
"otu_11931","marine_mud",0.000237297658328964,25,1,4,1
"otu_12","freshwater:terrestrial",0.0319569443377058,2675.83898989899,3,48,2
"otu_1215","freshwater:marine_mud",0.00225509358831474,264.3,2,25,2
"otu_1221","freshwater:marine_mud",0.00199156789430405,158.703703703704,3,22,2
"otu_1340","freshwater",0.00193981259205484,329.5,1,4,1
"otu_1371","freshwater:terrestrial",0.00114066756862267,107.333333333333,3,17,2
"otu_1387","freshwater:marine_mud",0.00320052068615311,415.72619047619,2,13,2
"otu_161","freshwater:marine_mud:terrestrial",0.0101398260112753,1082.02941176471,3,38,3
"otu_1683","freshwater",0.00131429520902171,123.861111111111,3,20,1
"otu_20","freshwater:marine_mud",0.0453814788897411,2179.72222222222,2,15,2
"otu_206","marine_mud",0.00574885780030612,743.529411764706,1,17,1
"otu_2290","terrestrial",0.00378401200834642,160.666666666667,1,6,1
"otu_2316","freshwater",0.000812320287010024,137,2,4,1
"otu_2382","marine_mud",0.00449196300203457,181.75,1,4,1
"otu_24","freshwater:terrestrial",0.313941208341766,30171.8318742985,3,53,2
"otu_2566","freshwater:marine_mud",0.000956997216533817,144.166666666667,2,11,2
"otu_27","freshwater:marine_mud",0.0414094244131673,3973.20025252525,3,45,2
"otu_2726","marine_mud",0.000691811368393695,156.75,1,4,1
"otu_2760","freshwater",0.000935738279184436,103.166666666667,1,6,1
"otu_2775","marine_mud",0.000729615044383406,102.5,1,6,1
"otu_3034","freshwater",0.00153146720326333,140.25,1,4,1
"otu_3410","freshwater",0.00156616607705261,123,1,4,1
"otu_351","freshwater",0.00250907555888483,382.785714285714,2,9,1
"otu_36","freshwater:marine_mud",0.0144164719934658,2456,2,12,2
"otu_394","marine_mud:terrestrial",0.00338309177493974,318.707142857143,2,24,2
"otu_3952","marine_mud",0.00137908062370212,104.5,1,4,1
"otu_4063","marine_mud",0.00103059655090047,109.7,1,10,1
"otu_4360","marine_mud",0.00107108492267885,74.8,1,5,1
"otu_46","freshwater:marine_mud:terrestrial",0.0670659244351965,4654.6374277896,3,60,3
"otu_51","freshwater:marine_mud:terrestrial",0.0378427977302886,3432.52549019608,3,50,3
"otu_52","freshwater:terrestrial",0.0365207113343175,2934.87978687979,3,44,2
"otu_569","freshwater:terrestrial",0.0049043963932536,288.333333333333,2,7,2
"otu_570","marine_mud",0.004100563937616,563.222222222222,1,9,1
"otu_58","freshwater:marine_mud:terrestrial",0.0258038991900512,1546.00017253278,3,52,3
"otu_5940","freshwater:marine_mud",0.000241704524936564,44.6111111111111,3,13,2
"otu_6","freshwater:marine_mud:terrestrial",0.171742006612503,13304.0420875421,3,62,3
"otu_61","freshwater:marine_mud:terrestrial",0.0305845733611465,3127.90909090909,3,57,3
"otu_6204","freshwater",0.000211791648099868,42.1666666666667,2,4,1
"otu_7065","freshwater",0.000292758142105492,39,2,4,1
"otu_797","freshwater:marine_mud",0.00242274622211629,229.094117647059,3,30,2
"otu_87","freshwater:terrestrial",0.0382478695463958,3451.31481481481,3,48,2
"otu_8858","marine_mud",0.000407999857544524,37.75,1,4,1
"otu_93","marine_mud",0.0197145640249747,1819.90909090909,1,11,1
"otu_958","freshwater:marine_mud",0.00332028823791792,488,2,11,2
